0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
11450,8908.0,4194.0,7929.0,8908.0,8574.0,13490.0,24053.0,8908.0,14527.0,13020.0,8908.0,27106.0,17501.0,8908.0,17717.0,13490.0,3576.0,8908.0,4033.0,13490.0,16551.0,8908.0,4160.0,26739.0,8908.0,10607.0,,,,
13274,27708.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15858,18441.0,4138.0,25133.0,20825.0,28092.0,9927.0,,,,,,,,,,,,,,,,,,,,,,,,
19012,22613.0,12633.0,18157.0,19403.0,7939.0,910.0,18157.0,27416.0,11178.0,20845.0,22613.0,12633.0,7939.0,15759.0,11066.0,12758.0,28092.0,24045.0,11066.0,18235.0,7818.0,2253.0,15730.0,11066.0,22937.0,28092.0,26329.0,9832.0,27307.0,14900.0
6087,24567.0,20441.0,18091.0,3010.0,6889.0,20951.0,14900.0,,,,,,,,,,,,,,,,,,,,,,,
11815,27205.0,19946.0,8498.0,28092.0,26418.0,20219.0,16294.0,25777.0,4439.0,16386.0,13569.0,6789.0,1697.0,7939.0,20601.0,14785.0,1644.0,4423.0,14900.0,,,,,,,,,,,
4612,8918.0,18441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24167,14404.0,9362.0,21698.0,1644.0,16294.0,13570.0,14900.0,,,,,,,,,,,,,,,,,,,,,,,
5008,381.0,18441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3957,23195.0,18441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815,5819.0,14055.0,4874.0,20797.0,21332.0,14900.0,,,,,,,,,,,,,,,,,,,,,,,,
21999,8463.0,19674.0,22245.0,7377.0,11066.0,15221.0,1644.0,9733.0,17024.0,14900.0,,,,,,,,,,,,,,,,,,,,
1610,3397.0,11066.0,19403.0,7939.0,9733.0,22944.0,4940.0,17071.0,7939.0,279.0,2904.0,14900.0,,,,,,,,,,,,,,,,,,
15131,14967.0,7573.0,22917.0,26466.0,15131.0,,,,,,,,,,,,,,,,,,,,,,,,,
15452,1295.0,8359.0,11580.0,16294.0,14500.0,18600.0,19366.0,4803.0,16294.0,1617.0,28092.0,9543.0,18443.0,24905.0,11738.0,5414.0,19536.0,11051.0,19997.0,3234.0,4652.0,15852.0,14900.0,,,,,,,
17112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24618,5115.0,20729.0,4803.0,13896.0,2155.0,16386.0,28132.0,14900.0,,,,,,,,,,,,,,,,,,,,,,
16283,17403.0,18443.0,9911.0,18443.0,4811.0,24488.0,14900.0,,,,,,,,,,,,,,,,,,,,,,,
22382,6623.0,21742.0,5852.0,15519.0,1095.0,8288.0,18443.0,22258.0,28092.0,7939.0,1512.0,15519.0,20234.0,6712.0,20797.0,22648.0,7939.0,6232.0,4249.0,10864.0,15519.0,11657.0,19625.0,27483.0,11225.0,14900.0,,,,
11903,23569.0,18443.0,1259.0,5819.0,21197.0,28092.0,1092.0,24723.0,21024.0,14900.0,,,,,,,,,,,,,,,,,,,,
21056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26803,23162.0,16294.0,23774.0,28092.0,16294.0,15800.0,25471.0,20601.0,9832.0,7146.0,1301.0,7939.0,20895.0,20158.0,14900.0,,,,,,,,,,,,,,,
11903,3841.0,11066.0,4803.0,10577.0,1644.0,16294.0,26399.0,6604.0,13082.0,8885.0,668.0,24723.0,18917.0,15338.0,23162.0,8453.0,13103.0,14900.0,,,,,,,,,,,,
8890,22151.0,18441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,16294.0,3841.0,11066.0,7146.0,8275.0,28092.0,24436.0,9121.0,11066.0,21739.0,453.0,3010.0,21712.0,11066.0,22124.0,7419.0,14900.0,,,,,,,,,,,,,
15270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815,11066.0,12047.0,24487.0,14094.0,7939.0,24487.0,13534.0,6607.0,16294.0,15819.0,18443.0,1998.0,26266.0,418.0,4803.0,11438.0,23721.0,25592.0,18196.0,4803.0,5135.0,7939.0,18477.0,4803.0,22728.0,1143.0,14900.0,,,
12012,18443.0,16294.0,20778.0,22944.0,6335.0,22770.0,17093.0,20521.0,26329.0,16294.0,20778.0,14900.0,,,,,,,,,,,,,,,,,,
11384,14900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4895,1099.0,10621.0,6876.0,25943.0,8908.0,5672.0,13490.0,,,,,,,,,,,,,,,,,,,,,,,
19583,16466.0,28092.0,13366.0,7146.0,16294.0,27271.0,7402.0,1644.0,4407.0,14900.0,,,,,,,,,,,,,,,,,,,,
