0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
13241,19633.0,18117.0,11792.0,15921.0,19388.0,23053.0,15958.0,18781.0,10470.0,19704.0,9558.0,15043.0,16826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20168,6475.0,18169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14304,14349.0,10506.0,21751.0,27606.0,20116.0,21837.0,17068.0,22552.0,23164.0,16813.0,19971.0,16826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14970,1708.0,539.0,11985.0,14384.0,28383.0,13838.0,5940.0,16826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5579,5630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20268,529.0,18169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14167,1708.0,17266.0,12397.0,23730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21010,1708.0,14015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,23870.0,23411.0,24767.0,2758.0,15816.0,25098.0,10470.0,18972.0,11126.0,25787.0,20185.0,5726.0,27426.0,7214.0,2925.0,15528.0,17440.0,4129.0,8499.0,14767.0,18781.0,4323.0,16826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17735,25947.0,14590.0,1708.0,19673.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28164,18001.0,18169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,16557.0,18169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27451,21751.0,27606.0,20116.0,21575.0,23163.0,9586.0,24915.0,21963.0,20365.0,10470.0,71.0,5733.0,16826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7236,13607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20457,25051.0,18169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5997,22015.0,15611.0,18169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25598,3210.0,19337.0,27091.0,10101.0,18781.0,2528.0,16826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25598,3210.0,19337.0,27241.0,23164.0,28223.0,18669.0,13838.0,14159.0,27007.0,16826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14200,21383.0,5726.0,4222.0,13019.0,21913.0,13838.0,16690.0,11212.0,15265.0,17694.0,11745.0,11877.0,3210.0,16826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2849,10165.0,3680.0,11131.0,8877.0,8202.0,3657.0,7619.0,6750.0,6344.0,9586.0,22170.0,16826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28350,22790.0,25098.0,8834.0,26140.0,16826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24184,2528.0,14384.0,15233.0,8834.0,17334.0,5726.0,14888.0,2528.0,720.0,19388.0,18117.0,14384.0,21601.0,8128.0,11126.0,5940.0,16826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25598,4140.0,25882.0,6536.0,26229.0,20248.0,19388.0,10470.0,3210.0,14384.0,21140.0,5726.0,5290.0,18781.0,5418.0,9671.0,19388.0,5418.0,2559.0,8210.0,14384.0,17408.0,2607.0,16826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4613,1708.0,12450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21502,24544.0,22305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,18169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,14231.0,9586.0,10470.0,26875.0,25298.0,13838.0,10470.0,23611.0,1708.0,5726.0,7022.0,18781.0,17495.0,8322.0,9602.0,22707.0,8054.0,18781.0,19381.0,6730.0,3222.0,9421.0,27895.0,6730.0,23826.0,11318.0,6730.0,3464.0,11775.0,20103.0,13838.0,24098.0,9417.0,19388.0,197.0,13838.0,15941.0,17653.0,16826.0,,,,,,,,,,,,,,
12328,12204.0,3863.0,17333.0,16826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22870,18169.0,22761.0,1708.0,13593.0,1708.0,4265.0,1708.0,13821.0,16826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20457,23924.0,18169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25598,3210.0,19337.0,2819.0,22790.0,19388.0,18171.0,24485.0,25098.0,20665.0,1708.0,6419.0,18781.0,27982.0,17274.0,10470.0,21364.0,18781.0,3229.0,5733.0,15611.0,27530.0,27841.0,16826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24184,19304.0,15611.0,25289.0,11726.0,16826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14020,18358.0,19658.0,22154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20457,593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24184,8707.0,2231.0,17023.0,20983.0,12179.0,1708.0,5726.0,4959.0,18781.0,10470.0,22065.0,19704.0,2763.0,20419.0,19388.0,23750.0,203.0,20419.0,16826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
