0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
21216,9963.0,16044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3503,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27985,24733.0,23238.0,19307.0,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3757,25582.0,13156.0,25146.0,18992.0,18800.0,27869.0,16945.0,22317.0,27493.0,9963.0,783.0,13575.0,5284.0,15920.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,24733.0,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26278,10827.0,12006.0,10321.0,19734.0,4462.0,27828.0,1741.0,26525.0,6775.0,6616.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15657,10283.0,8786.0,13019.0,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16204,25132.0,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15657,10283.0,8786.0,13019.0,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16489,11263.0,6063.0,22409.0,5921.0,22886.0,13202.0,27190.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6685,1793.0,21054.0,25607.0,13367.0,23535.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20174,26525.0,19022.0,363.0,24014.0,7772.0,22262.0,5992.0,12721.0,2838.0,24014.0,10971.0,9801.0,19022.0,363.0,12822.0,25842.0,26525.0,11496.0,363.0,12822.0,8549.0,11465.0,19022.0,363.0,12772.0,22151.0,17632.0,27546.0,23666.0,5992.0,19022.0,363.0,12772.0,27305.0,27546.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11452,19497.0,2886.0,5777.0,22274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12896,27051.0,5921.0,5509.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7009,1319.0,2823.0,3393.0,2886.0,12772.0,5469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21252,23826.0,15310.0,26169.0,2886.0,8158.0,19459.0,5065.0,26525.0,2886.0,8158.0,19459.0,27168.0,25864.0,17660.0,25373.0,11865.0,2886.0,8158.0,17660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21216,2783.0,25835.0,7256.0,5136.0,2874.0,24266.0,16044.0,5284.0,22704.0,18295.0,5284.0,17194.0,14793.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783,14554.0,8139.0,5921.0,26803.0,22835.0,2886.0,8158.0,9306.0,5921.0,10023.0,2886.0,8158.0,16601.0,5921.0,10023.0,2886.0,8158.0,8577.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20753,6995.0,15657.0,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25702,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10801,17052.0,5597.0,6669.0,14604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15761,11478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12693,1276.0,17774.0,19497.0,2886.0,7853.0,9881.0,11263.0,27418.0,2783.0,5992.0,7256.0,7853.0,8158.0,8658.0,2783.0,2694.0,22174.0,14659.0,7155.0,7980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18620,27977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26884,15155.0,1909.0,21611.0,23120.0,5455.0,15451.0,19501.0,23120.0,19965.0,22787.0,23120.0,14742.0,15451.0,26501.0,23120.0,9002.0,15897.0,23120.0,6421.0,24626.0,23120.0,19965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27985,24733.0,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6893,13460.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26278,18887.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25490,5921.0,23557.0,13677.0,5921.0,13418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26278,15190.0,21273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26278,5421.0,9964.0,23120.0,25269.0,11933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24541,16568.0,5921.0,783.0,1793.0,13367.0,25429.0,2874.0,3443.0,20624.0,202.0,5284.0,783.0,162.0,847.0,18800.0,21196.0,20624.0,6700.0,11051.0,15282.0,15443.0,14659.0,21392.0,305.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,1276.0,17774.0,19497.0,2886.0,7853.0,9881.0,11263.0,27418.0,2783.0,5992.0,7256.0,7853.0,8158.0,8658.0,2783.0,2694.0,22174.0,14659.0,7155.0,7256.0,740.0,26786.0,11263.0,17376.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15173,25005.0,13367.0,9903.0,9963.0,20299.0,13014.0,24962.0,3635.0,22638.0,8829.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6685,1793.0,13367.0,16349.0,26496.0,783.0,22704.0,23967.0,5284.0,783.0,1228.0,9525.0,5921.0,11889.0,11327.0,3661.0,8373.0,6925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15173,18634.0,10829.0,12826.0,7462.0,18893.0,18334.0,9339.0,1659.0,3443.0,10829.0,11399.0,26114.0,25692.0,7276.0,3443.0,20479.0,18149.0,6886.0,2874.0,11576.0,21568.0,18800.0,8667.0,6335.0,21568.0,10829.0,1632.0,8424.0,24962.0,6592.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20427,21117.0,8317.0,6731.0,28302.0,5921.0,14347.0,5921.0,17004.0,18948.0,5921.0,20538.0,5921.0,21388.0,9028.0,18411.0,24723.0,13526.0,13202.0,8351.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7304,7343.0,26525.0,2886.0,19537.0,9881.0,11263.0,27418.0,2783.0,5992.0,7256.0,19537.0,8158.0,14958.0,14659.0,7155.0,9963.0,2694.0,14793.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27181,8397.0,23976.0,4792.0,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,10571.0,5992.0,27730.0,15451.0,3609.0,10571.0,5992.0,15451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,2783.0,3926.0,7256.0,11465.0,18020.0,8158.0,3344.0,23826.0,17782.0,8001.0,2783.0,1489.0,23177.0,7256.0,19497.0,18020.0,8158.0,8658.0,23826.0,27191.0,20635.0,9514.0,18020.0,8158.0,9538.0,23826.0,17782.0,12506.0,10283.0,8626.0,2783.0,26176.0,22573.0,7256.0,6540.0,17447.0,8158.0,26038.0,23826.0,27191.0,2847.0,2301.0,13668.0,8158.0,3344.0,23826.0,17782.0,,,,,,,,,,,,,,
7508,7209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16551,9145.0,7580.0,12311.0,1967.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20427,12186.0,6731.0,17004.0,7109.0,14166.0,783.0,2603.0,16737.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3935,26095.0,18846.0,26082.0,597.0,24410.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15652,7502.0,10441.0,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18558,4443.0,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18852,17495.0,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22764,3345.0,20689.0,26385.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6931,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6685,1793.0,21117.0,20512.0,7109.0,4360.0,18800.0,20284.0,20163.0,16756.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23463,27107.0,5921.0,783.0,1793.0,14588.0,7266.0,24962.0,4356.0,19166.0,740.0,2118.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12297,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8542,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20427,13367.0,21010.0,2874.0,25510.0,7465.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11463,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21344,24042.0,13367.0,23137.0,18800.0,27828.0,13367.0,21010.0,2874.0,20717.0,12311.0,11370.0,27184.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8298,9918.0,19208.0,2874.0,8361.0,3150.0,28116.0,15428.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24541,1377.0,7155.0,14952.0,783.0,1793.0,8293.0,13367.0,858.0,15773.0,740.0,11933.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8519,17084.0,20689.0,350.0,1973.0,2108.0,2874.0,10273.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6685,1793.0,14273.0,13367.0,1288.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26884,15155.0,1909.0,15525.0,23120.0,9655.0,14507.0,23120.0,8535.0,3358.0,23120.0,20732.0,10192.0,23120.0,23839.0,23008.0,5921.0,14714.0,20959.0,22482.0,5921.0,19949.0,5921.0,8919.0,15904.0,25752.0,16877.0,5921.0,8919.0,20049.0,19614.0,19245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24541,2025.0,5921.0,14813.0,5054.0,13367.0,2813.0,26496.0,19380.0,21573.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,13142.0,27546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15610,1370.0,13933.0,4462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7043,15443.0,7710.0,23466.0,24962.0,21480.0,12455.0,16547.0,2783.0,8444.0,7256.0,18219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10266,10081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16680,5231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17238,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,13367.0,7769.0,12311.0,23090.0,5921.0,10467.0,5284.0,25439.0,24962.0,783.0,6813.0,8667.0,2029.0,13367.0,9730.0,8667.0,11370.0,16994.0,18639.0,26175.0,3345.0,2108.0,24417.0,2874.0,27240.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21570,26247.0,8778.0,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3694,23798.0,17521.0,5028.0,18634.0,12585.0,9963.0,14659.0,5028.0,24962.0,28222.0,21054.0,8514.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21716,23238.0,27238.0,12311.0,24540.0,5921.0,5028.0,24962.0,8623.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13434,21923.0,1544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,21493.0,12867.0,19360.0,23238.0,5359.0,11873.0,15443.0,14179.0,9881.0,11263.0,27418.0,2783.0,5992.0,7256.0,11873.0,15443.0,14179.0,11236.0,8658.0,2783.0,2694.0,22174.0,14659.0,7155.0,7980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23838,8559.0,12311.0,18927.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18300,3624.0,17305.0,5284.0,783.0,23712.0,9963.0,14295.0,21355.0,8464.0,13575.0,5284.0,3520.0,7788.0,11327.0,13367.0,10762.0,3089.0,2874.0,783.0,1275.0,12311.0,10449.0,7155.0,8373.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,21148.0,18800.0,9624.0,10911.0,15441.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,4443.0,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21478,13367.0,12440.0,26726.0,18800.0,21928.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6614,7426.0,15690.0,5921.0,13418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5486,379.0,5607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,20427.0,13367.0,7207.0,26983.0,2874.0,4823.0,15443.0,19380.0,18150.0,20763.0,18362.0,8628.0,14659.0,9911.0,12006.0,2783.0,4502.0,7256.0,15143.0,23044.0,5921.0,898.0,9097.0,7214.0,4050.0,14166.0,10321.0,25721.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9378,11744.0,10755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3905,8261.0,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783,3790.0,24962.0,6931.0,7256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15045,10633.0,8708.0,6616.0,5921.0,27828.0,13367.0,8926.0,2874.0,783.0,21898.0,24962.0,4435.0,7502.0,9963.0,4835.0,15443.0,5958.0,18800.0,13259.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20267,27274.0,5284.0,23782.0,14793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5134,26169.0,19813.0,12152.0,7155.0,5921.0,15178.0,15443.0,18078.0,19813.0,12152.0,7155.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14299,20538.0,11263.0,6685.0,1793.0,21117.0,20479.0,5481.0,20216.0,7039.0,12006.0,23836.0,18800.0,13367.0,20077.0,13235.0,24189.0,2694.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1353,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27985,7767.0,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9844,21081.0,5921.0,13418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4287,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24541,1248.0,15046.0,27515.0,5921.0,20352.0,2886.0,21513.0,24253.0,7155.0,4462.0,15276.0,5921.0,9246.0,15426.0,15441.0,24014.0,4462.0,16914.0,5921.0,16635.0,2886.0,5777.0,24253.0,22060.0,18992.0,4462.0,13404.0,13919.0,5921.0,21599.0,2886.0,5777.0,24014.0,4462.0,6656.0,5921.0,26525.0,2886.0,5777.0,24014.0,4462.0,583.0,5921.0,10633.0,27212.0,5777.0,20969.0,4462.0,14544.0,5921.0,15958.0,10847.0,24253.0,8373.0,18992.0,9555.0,,,,,
20913,19205.0,8514.0,7788.0,2122.0,15833.0,12594.0,1691.0,12311.0,10250.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14299,2486.0,19497.0,2886.0,3489.0,14659.0,7155.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22517,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24781,28026.0,27489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22981,11744.0,10755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6685,1793.0,4716.0,20299.0,17409.0,24723.0,7155.0,18800.0,21117.0,10829.0,2900.0,14659.0,2034.0,5028.0,24962.0,28369.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28314,14872.0,16004.0,2874.0,9998.0,23238.0,22462.0,16875.0,2783.0,2108.0,2874.0,3089.0,8829.0,7256.0,9353.0,13367.0,3074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27102,1332.0,14052.0,16853.0,18693.0,13162.0,9881.0,11263.0,27418.0,2783.0,5992.0,7256.0,11236.0,15156.0,2783.0,19813.0,10953.0,18992.0,7256.0,740.0,26786.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24541,783.0,20916.0,25932.0,783.0,15251.0,24590.0,783.0,13398.0,9963.0,2525.0,24962.0,4526.0,26138.0,3848.0,26117.0,15607.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3503,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27181,8397.0,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,649.0,10829.0,23251.0,12006.0,17035.0,11147.0,7502.0,17284.0,9353.0,5331.0,8919.0,20049.0,19614.0,5284.0,24956.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,13367.0,23747.0,12311.0,15276.0,9963.0,14196.0,24962.0,783.0,12579.0,16087.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24733,24962.0,4391.0,11263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13645,11263.0,27796.0,5921.0,15455.0,3040.0,830.0,5921.0,8228.0,5921.0,6731.0,11148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14299,13491.0,9555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
